survey.pages,neighborhood,meeting.location,work.needed,district,location,coordinates,budget.project,project.description,project.category,equity,workforce.entrepr,children.families,crit.infrastructure,crit.communities,grn.infrastructure,mobility,climate,arts.culture,housing,additional.priorities,budget.project.2,issue.understanding,consider.pov,voice.heard,share.stories,neighbor.engagement,future.attendance,other.issues,budget.project.3,addtl.feedback,budget.project.4
73-76,CARRICK,NORTH SIDE,RENOVATION OF REC CENTER + SWIMMING POOL AREA,4,PHILLIPS PARK PARKFIELD ST. PGH PA 15210,"40.392058, -79.991137",PARK RECONSTRUCTION,,,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,,,VERY,VERY,VERY,VERY,VERY,PROBABLY YES,CONDEMNED PROPERTIES,REMEDIATION OF CONDEMNED BUILDINGS,,
77-80,EAST LIBERTY,NORTH SIDE,MORE INVESTMENTS IN TECH,CITY-WIDE,PITTSBURGH,,ECONOMIC DEVELOPMENT AND HOUSING,RECREATION AND ACCESS TO TECH,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,AGAIN INVESTMENTS IN DIVERSITY,,SOMEWHAT,VERY,VERY,VERY,VERY,DEFINITELY YES,MAKING COMMUNITIES MORE AWARE OF THESE EVENTS,,THANKS FOR HAVING ME!,
77-80,EAST LIBERTY,NORTH SIDE,INNOVATION WORKS IS DOING A HORRIBLE JOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81-84,[BLANK],NORTH SIDE,DILAPIDATED STRUTS + SIDEWALKS,4,15210,,RAMP AND PUBLIC SIDEWALK,SOUTH HILLS STREET RESURFACING,STREET RESURFACING,IMPORTANT,[BLANK],IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,,,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,PROBABLY YES,CULTURAL DIVERSITY,,,
81-84,[BLANK],NORTH SIDE,ABANDONED PROPERTIES I.E. BERG PLACE,4,15210,,REMEDIATION OF CONDEMNED PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,
81-84,[BLANK],NORTH SIDE,ST. BASIL'S DEMOLITION,4,CONCORDIA ST,"40.397627, -79.987671",REMEDIATION OF CONDEMNED PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,
81-84,[BLANK],NORTH SIDE,RENOVATION OF REC CENTER AT PHILLIPS PARK,4,PARKFIELD AVE,"40.391503, -79.990990",FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,,,,,,,,,,,,,,,,,,,,,,,,
85-88,FRIENDSHIP,NORTH SIDE,VACANT LAND MAINTENANCE (STRUCTURED + NON),CITY-WIDE,,,REMEDIATION OF CONDEMNED PROPERTIES,"BLIGHTED PROPERTIES, BOTH STRUCTURED + UNSTRUCTURED",REMEDIATION OF CONDEMNED BUILDINGS,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,BLIGHT,REMEDIATION OF CONDEMNED BUILDINGS,SOMEWHAT,VERY,SOMEWHAT,SOMEWHAT,SOMEWHAT,DEFINITELY YES,HOW TO BEST WORK WITH PAT,,,
85-88,FRIENDSHIP,NORTH SIDE,PARK SPACE MAINTENANCE + CONST.,"7, 9",FRIENDSHIP,"40.462552, -79.946205",PARK RECONSTRUCTION,,,,,,,,,,,,,,,,,,,,,,,,
85-88,FRIENDSHIP,NORTH SIDE,"OFF-PEAK ""BACKWARD COMMUTING"" MOBILIITY IMPROVEMENTS","7, 9",LIBERTY AVE BUS LINES,,,,,,,,,,,,,,,,,,,,,,,,,,
89-92,HIGHLAND PARK,NORTH SIDE,VACANT LOT MAINTENANCE,CITY-WIDE,CITY-WIDE,,REMEDIATION OF CONDEMNED BUILDINGS,BLIGHT REMEDIATION,REMEDIATION OF CONDEMENED BUILDINGS,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,PUBLIC SAFETY,,SOMEWHAT,A LITTLE,A LITTLE,SOMEWHAT,SOMEWHAT,PROBABLY YES,EQUITY IN CONTRACTING,,"IF POSSIBLE, THIS MEETING SHOULD BE REPEATED IN OTHER PARTS OF THE CITY (EAST END, WEST END)",
89-92,HIGHLAND PARK,NORTH SIDE,"CITY WIDE GREENING STRATEGY - FEASIBILITY OF MEASURES THAT PROACTIVELY MAINTAIN CITY-OWNED ASSETS (LOTS, GREENWAYS, MISC. VACANT LAND)",,CITY-WIDE,,REMEDIATION OF CONDEMNED BUILDINGS,,,,,,,,,,,,,NEIGHBORHOOD BEAUTIFICATION,ACCBO,,,,,,,,,,
93-96,BEECHVIEW,NORTH SIDE,COMMUNITY SPACE,4,BROADWAY AVE,"40.403785, -80.030127",FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,"AFFORDABLE HOUSING - NOT JUST SECTION 8 UNITS BUT HOUSING THAT LOW INCOME INDIVIDUALS & FAMILIES CAN AFFORD WHO DO NOT HAVE A SECT 8 SUBSIDY.  THERE IS A LONG WAITLIST FOR SENIOR HIGH RISES, LOW INCOME HOUSING SUCH AS OAK HILL, ETC.",ECONOMIC DEVELOPMENT AND HOUSING,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SAFETY,,VERY,VERY,VERY,VERY,SOMEWHAT,DEFINITELY YES,,,,
97-100,BEECHVIEW,NORTH SIDE,[BLANK],,,,,STREETS,STREET RESURFACING,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,NONE,,VERY,SOMEWHAT,SOMEWHAT,VERY,A LITTLE,PROBABLY YES,,,,
97-100,BEECHVIEW,NORTH SIDE,,,,,,AND SIDEWALKS,RAMP AND PUBLIC SIDEWALK,,,,,,,,,,,,,,,,,,,,,,
101-104,MEXICAN WAR STREETS,NORTH SIDE,[BLANK],,,,,SUSTAINABLE TRANSPORTATION,,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SAFETY - ESPECIALLY IN PUBLIC SPACES/FESTIVALS,,VERY,VERY,VERY,VERY,VERY,DEFINITELY YES,CLIMATE CHANGE PREVENTION PROJECTS,,WE WOULD HAVE APPRECIATED DETAILED BUDGET ITEMS AND SPECIFIC NUMBERS.  LAST YEAR'S BUDGET WOULD HAVE HELPED FOR COMPARISON,
101-104,MEXICAN WAR STREETS,NORTH SIDE,,,,,,PUBLIC TRANSPORTATION INCENTIVES FOR PUBLIC,,,,,,,,,,,,,,,,,,,,,,,
101-104,MEXICAN WAR STREETS,NORTH SIDE,,,,,,INCREASED ACCESSIBILITY,,,,,,,,,,,,,,,,,,,,,,,
105-108,NORTH SHORE,NORTH SIDE,PAPER RECYCLING - HAVE NOTICED THAT THE PAPER RECYCLING FACILITIES THAT HAVE ONCE USED HAVE DISAPPEARED,1,NORTH SHORE,,LITTER CAN UPGRADES AND MONITORING,"ATTENTION TO GREEN INFRASTRUCTURE AND ADDRESSING CLIMATE CHANGE THROUGH ADDITION OF SOLAR PANELS, SUSTAINABLE TECHNOLOGIES",,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,ANYTHING THAT CAN INCORPORATE SUSTAINABILITY AND GREEN INFRASTRUCTURE TO ADDRESS ISSUES OF CLIMATE CHANGE AND IMPROVEMENTS TO AIR AND WATER QUALITY,,VERY,SOMEWHAT,VERY,SOMEWHAT,VERY,PROBABLY YES,"ENVIRONMENTAL ISSUES, LEAD/WATER QUALITY",,,
105-108,NORTH SHORE,NORTH SIDE,REPLACEMENT OF WATER LINES TO ADDRESS HIGH/UNSAFE LEVELS OF LEAD IN THE WATER,1,NORTH SHORE,,,,,,,,,,,,,,,,,,,,,,,,,,
105-108,NORTH SHORE,NORTH SIDE,"TRANSPORTATION - EXPANSION OF ""T"" AND BUS ROUTES TO ADDITIONAL NEIGHBORHOODS",,[BLANK],,,,,,,,,,,,,,,,,,,,,,,,,,
105-108,NORTH SHORE,NORTH SIDE,RECYCLING OVERALL + ADDRESSING CLIMATE CHANGE,,[BLANK],,,,,,,,,,,,,,,,,,,,,,,,,,
109-112,INGRAM,NORTH SIDE,N/A,,,,,FIXING THE SEWER ISSUES!,,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,,,VERY,VERY,VERY,VERY,SOMEWHAT,DEFINITELY YES,ENVIRONMENTAL POLICY IN PRACTICE,,,
113-116,SHADYSIDE,NORTH SIDE,NEGLY AVE BRIDGE - WORK W/ PAT TO REOPEN STAIRCASE,8,,"40.456155, -79.933341",STEP REPAIR AND REPLACEMENT,STREET RESURFACING ESPECIALLY IN LOWER INCOME NEIGHBORHOODS,STREET RESURFACING,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,RECYCLE OPPORTUNITIES NEED EXPANDED AND CLEARLY COMMUNICATED,"LITTER CAN UPGRADES AND MONITORING
",VERY,SOMEWHAT,VERY,VERY,VERY,DEFINITELY YES,DOMI,,,
113-116,SHADYSIDE,NORTH SIDE,CONTINUED WATER RUNOFF RAIN RETENTION,,,,BRIDGE REPAIRS,"BETTER USE OF CITY OWNED BUILDINGS (SCHOOLS, REC CENTERS, SENIOR CTRS.) ",ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,,,,,,,,,RECYCLE,,,
113-116,SHADYSIDE,NORTH SIDE,PARKING OPTIONS IN THE EASTERN END OF THE NEIGHBORHOOD NEED ADDRESSED,,,,,ADDRESS TRAFFIC RELATED ISSUES PRIOR TO NEIGHBORHOODS EXPANDING,COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,
113-116,SHADYSIDE,NORTH SIDE,ADDRESS FACILITY ISSUES AT THE POLICE/FIRE FACILITY IN SQ HILL AND EMS ON LIBERTY,5,[5858 NORTHUMBERLAND ST 15217],"40.441442, -79.921157",FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES ,,,,,,,,,,,,,,,,,,,,,,,,
113-116,SHADYSIDE,NORTH SIDE,ADDRESS FACILITY ISSUES AT THE POLICE/FIRE FACILITY IN SQ HILL AND EMS ON LIBERTY,5,[220 22nd ST],"40.451691, -79.982115",FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES ,,,,,,,,,,,,,,,,,,,,,,,,
117-120,MT. WASHINGTON,NORTH SIDE,"HOUSING IMPROVEMENT, BLIGHT REMEDIATION",CITY-WIDE,EVERYWHERE,,REMEDIATION OF CONDEMNED BUILDINGS,MEETING BASIC NEEDS - NO CUTS TO HOUSING OR FOOD SECURITY PROGRAMS,ECONOMIC DEVELOPMENT AND HOUSING,IMPORTANT,[BLANK],[BLANK],IMPORTANT,IMPORTANT,[BLANK],[BLANK],[BLANK],[BLANK],IMPORTANT,NEED LESS BETTER DEFINED PRIORITIES NOT MORE,,SOMEWHAT,A LITTLE,A LITTLE,VERY,VERY,PROBABLY YES,EQUITY & THE SYSTEMIC BARRIERS TO IT,,BETTER RECRUITMENT FOR DIVERSE ATTENDEES & PERSPECTIVES,
117-120,MT. WASHINGTON,NORTH SIDE,BETTER PARKING STRATEGY,CITY-WIDE,EVERYWHERE,,,,,,,,,,,,,,,,,,,,,,,,,,
117-120,MT. WASHINGTON,NORTH SIDE,CROSSWALK BY S.H. JUNCTION,3,HABERMAN & WARRINGTON,"40.421044, -80.002488",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
121-124,BEECHVIEW,NORTH SIDE,SIDEWALKS REPLACED ALONG BENSONIA AVENUE AND WHEREVER NEEDED AT THE PUBLIC BEECHVIEW MONUMENT,4,INTERSECTION OF BROADWAY & SHIRAS AVENUES,"40.403922, -80.030339",RAMP AND PUBLIC SIDEWALK,STEPS THAT YOU SURVEYED.  THESE ARE PART OF MULTI MODAL AND ARE NOT AS EXPENSIVE AS OTHER MODES OF TRANSPORTATION,STEP REPAIR AND REPLACEMENT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,NOT IMPORTANT,SOMEWHAT IMPORTANT,AIR QUALITY INITIATIVES TO BE SPECIFIED IN THE CLIMATE BOX,,,,,,,,,,,
121-124,BEECHVIEW,NORTH SIDE,CONCRETE REPLACEMENT,4,1800 BLOCK BROADWAY,"40.407567, -80.025951",STREET RESURFACING,,,,,,,,,,,,,A CITY AMBASSADOR PROGRAM TO INFORM THE PUBLIC ON ISSUES.  THE CITY HAS A LOT OF PROGRAMS AND THE PUBLIC DOES NOT KNOW ABOUT THEM.  THESE COULD BE STAFF/VOLUNTEERS,,A LITTLE,NOT AT ALL,SOMEWHAT,VERY,SOMEWHAT,DEFINITELY YES,DO A MINI CITIZEN'S ACADEMY BECAUSE NOT EVERYONE CAN ATTEND MULTIPLE WEEKS,,ACOUSTICS ISSUE.  MODERATOR HAD MICROPHONE TOO CLOSE.,
121-124,BEECHVIEW,NORTH SIDE,DEMOLITION OF CONDEMNED HOUSES - BUT BETTER WOULD BE A PROGRAM WHERE FUNDING IS PROVIDED TO REPLACE THAT SPACE WITH A HOME OR STOREFRONT NOT JUST ANOTHER GREEN SPACE,4,"BROADWAY AVENUE 
2010 IS ONE ADDRESS","40.406273, -80.029146",ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,
125-128,EAST LIBERTY,SOUTH SIDE,I JUST MOVED THERE SO I HAVE NO COMMENT,,,,,MAKING SURE THAT BLACK-OWNED AND HISTORIC BUSINESSES FROM THE AREA ARE BEING SUPPORTED AMIDST GENTRIFICATION,ECONOMIC DEVELOPMENT AND HOUSING,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,N/A,,VERY,VERY,A LITTLE,VERY,SOMEWHAT,PROBABLY YES,N/A,,THERE WERE NO PEOPLE OF COLOR BESIDES MAYBE 3 PEOPLE.  OUTREACH NEEDS TO BE BETTER FOR ALL,
129-132,MORNINGSIDE,SOUTH SIDE,MORE AFFORDABLE SENIOR HOUSING,7,MORNINGSIDE - ALL,"40.481240, -79.930189",ECONOMIC DEVELOPMENT AND HOUSING,,,[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],,[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],,[BLANK],
129-132,MORNINGSIDE,SOUTH SIDE,LANE STRIPING/BIKE LANES,7,MORNINGSIDE - ALL,"40.486454, -79.927247",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
129-132,MORNINGSIDE,SOUTH SIDE,TRAFFIC CALMING,7,JANCY @ GREENWOOD,"40.485916, -79.926526",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
133-136,SQUIRREL HILL SOUTH,SOUTH SIDE,PUBLIC HOUSING COMPLEX FOR ELDERLY - HACP DESPERATELY NEEDS TO REHAB THEIR COMPLEX,5,MURRAY AVE (2800ISH) JUST PAST MURRAY + MORROWFIELD AVE,"40.428012, -79.925284",ECONOMIC DEVELOPMENT AND HOUSING,SIDEWALKS (PRIVATE + PUBLIC),RAMP AND PUBLIC SIDEWALK,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,ASKING IF THESE TOPICS ARE IMPORTANT ISN'T A GREAT WAY TO NARROW IN ON REAL PRIORITIES.  EVERYONE FEELS STRONGLY ABOUT ISSUES CLOSEST TO THEM AND IN THEIR OWN NEIGHBORHOODS.  RE-THINK HOW TO SURVEY/EVALUATE PRIORITIES MORE STRATEGICALLY,,NOT AT ALL,SOMEWHAT,A LITTLE,SOMEWHAT,NOT AT ALL,PROBABLY YES,"COMMUNITY ENGAGEMENT + EMPOWERMENT, INFASTRUCTURE PRIORITIES (FROM ALL TOPICS, NOT JUST TRANSPORTATION), PERFORMANCE-BASED BUDGETING EXPLORATION",,IT WOULD BE GREAT TO CIRULATE THIS SURVEY INENTIONALLY OUTSIDE OF THESE MEETINGS TO GET MORE FEEDBACK FROM MORE THAN THE ~50 PEOPLE WHO COME TO THESE MEETINGS,
133-136,SQUIRREL HILL SOUTH,SOUTH SIDE,SIDEWALK INVESTMENT ON PUBLIC + PRIVATE PROPERTY,5,BUSINESS DISTRICT (MURRAY + FORBES) + RESIDENTIAL STREETS,"40.438065, -79.922971",RAMP AND PUBLIC SIDEWALK,"CROSSWALKS, BUS AMENITIES (SHELTERS, LIGHTING, ACCESSIBILITY CONSIDERATIONS FOR ALL), CURB CUTS, ADA RAMPS",COMPLETE STREETS,,,,,,,,,,,"INVESTMENT IN EXISTING MULTI-UNIT BUILDINGS/HOMES, AIR QUALITY/INDOOR AIR QUALITY",ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,
133-136,SQUIRREL HILL SOUTH,SOUTH SIDE,"ENHANCE TRANSIT AMENITIES FOR TRANSIT RIDERS + PEDS - LIGHTING, SHELTERS, SEATING, PUBLIC ART, ETC.",5,BUSINESS DISTRICT ON FORBES + MURRAY (ALSO BEECHWOOD + SHADY),"40.419557, -79.927076",COMPLETE STREETS,INVESTMENT IN EXISTING HOUSING STOCK,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,,,,,,,,,,,,
133-136,SQUIRREL HILL SOUTH,SOUTH SIDE,DRAINAGE IMPROVEMENTS + STORMWATER CAPTURE METHODS,5,FOR MURRAY AVE (PARTICULARLY AT BOTTOM OF HILL @ MURRAY + FORWARD,"40.429729, -79.923511",FLOOD CONTROL,"*BASIC, CORE INFRASTRUCTURE MUST COME FIRST!*",,,,,,,,,,,,,,,,,,,,,,,
137-140,BROOKLINE,SOUTH SIDE,PARKING LOT IS FULL OF GIGANTIC CRATERS!  HAS ONLY GOTTEN WORSE OVER THE LAST 3 YEARS.  AFFECTS PSL LEAGUE GAMES.,7,WEST PENN FIELD PARKING LOT (POLISH HILL),"40.455410, -79.970141",FACILITY IMPROVEMENTS - SPORT FACILITIES,,,[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],,[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],,[BLANK],
141-144,MT. WASHINGTON,SOUTH SIDE,SHELTER HOUSE REPAIR,2,OLYMPIA PARK,"40.431300, -80.018318",FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,STREET RESURFACING,STREET RESURFACING,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,BETTER CONNECTIONS/WORK BETWEEN CITY + P.P.S. - ADVOCATING/PROMOTING OUR SCHOOLS IS VITAL FOR THE CITY,,SOMEWHAT,VERY,VERY,SOMEWHAT,VERY,DEFINITELY YES,[BLANK],,[BLANK],
141-144,MT. WASHINGTON,SOUTH SIDE,MCARDLE AVE - REPAIRS + FENCE UPDATES,2,MCARDLE AVE,"40.430237, -80.002066",FLEX BEAM GUIDERAILS AND FENCING,,,,,,,,,,,,,,,,,,,,,,,,
141-144,MT. WASHINGTON,SOUTH SIDE,"GRANDVIEW AVENUE INFRASTRUCTURE - FENCES, SIDEWALKS, ETC. PUBLIC BATHROOMS",2,GRANDVIEW AVE,"40.432017, -80.007548",RAMP AND PUBLIC SIDEWALK,,,,,,,,,,,,,,,,,,,,,,,,
141-144,MT. WASHINGTON,SOUTH SIDE,MCKINLEY PARK - SILVER WALL NEEDS UPDATED,2,MCKINLEY PARK,"40.414270, -80.002688",PARK RECONSTRUCTION,,,,,,,,,,,,,,,,,,,,,,,,
145-148,[BLANK],SOUTH SIDE,[BLANK],,,,,CONTINUED WORK ON GREEN INFRASTRUCTURE AND MULTIPLE MOBILITY VENUS (EG ELECTRIC BIKES),COMPLETE STREETS,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,[BLANK],,VERY,VERY,VERY,VERY,VERY,DEFINITELY YES,ISSUES OF SIGNIFICANT OR MAJOR INFRASTRUCTURE,,YOU ALL HAVE BEEN DOING GREAT WORK - KEEP IT UP!,
149-152,OAKLAND,SOUTH SIDE,"PLAN THE PROMENADE ALONG LAWN ST - IMPLEMENT ABOVE PLAN WITH FENCING, BENCHES, LANDSCAPING, ETC.",6,LAWN STREET GREENWAY,"40.434808, -79.964558",COMPLETE STREETS,"PUBLIC TOILETS IN STRIP DISTRICT, GRANDVIEW AVE, AND OTHER HEAVY TRAFFIC BUSINESS + LEISURE LOCATIONS",,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,[BLANK],,SOMEWHAT,VERY,A LITTLE,VERY,A LITTLE,PROBABLY YES,THE ZBA PROCESS,,[BLANK],
149-152,OAKLAND,SOUTH SIDE,,,,,,CITY STEPS REPAIR,STEP REPAIR AND REPLACEMENT,,,,,,,,,,,,,,,,,,,,,,
153-156,OAKLAND,SOUTH SIDE,ADA ACCESSIBLE AND COMPLIANT INFRASTRUCTURE AND EVENTS ,,[BLANK],,ADA COMPLIANCE,ACTIVITIES FOR PEOPLE WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES…GREATER COMMUNITY SUPPORT AND WILLINGNESS TO LEARN,ADA COMPLIANCE,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,ACCESSIBILITY,ADA COMPLIANCE,VERY,VERY,VERY,VERY,SOMEWHAT,PROBABLY YES,[BLANK],,[BLANK],
153-156,OAKLAND,SOUTH SIDE,SAFE SIDEWALKS,,[BLANK],,RAMP AND PUBLIC SIDEWALK,,,,,,,,,,,,,,,,,,,,,,,,
153-156,OAKLAND,SOUTH SIDE,CROSSWALKS THAT SPEAK OUT LOUD AT EVERY INTERSECTION,,[BLANK],,COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
157-160,OAKCLIFF IN SOUTH OAKLAND,SOUTH SIDE,COMPLETE REDESIGN AND REBUILDING OF PLAYGROUND,3,NIAGARA PARKLET,"40.434771, -79.960130",PLAY AREA IMPROVEMENTS,RECREATION CENTERS,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,[BLANK],,VERY,SOMEWHAT,VERY,SOMEWHAT,VERY,DEFINITELY YES,ZONING,,HOW TO APPLY FOR CAPITAL FUNDS,
157-160,OAKCLIFF IN SOUTH OAKLAND,SOUTH SIDE,DESIGN OF LAWN ST PROMENADE AND OAKCLIFFE GREENWAY TRAILS; PLAN TO CARRY DESIGN OUT,3,OAKCLIFFE GREENWAY/LAWN ST PROMENADE,"40.434361, -79.963390",PARK RECONSTRUCTION,PUBLIC TOILETS,PARK RECONSTRUCTION,,,,,,,,,,,,,,,,,,,,,,
157-160,OAKCLIFF IN SOUTH OAKLAND,SOUTH SIDE,,,,,,CITY STEPS,STEP REPAIR AND REPLACEMENT,,,,,,,,,,,,,,,,,,,,,,
161-164,MT. WASHINGTON,SOUTH SIDE,WELCOME CTR/PUBLIC BATHROOMS FOR GRANDVIEW TOURISTS,2,GRANDVIEW AVE,"40.437011, -80.016802",PARK RECONSTRUCTION,STREET RESURFACING,STREET RESURFACING,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,[BLANK],,SOMEWHAT,VERY,VERY,VERY,VERY,PROBABLY YES,TAX REFORM,,HOW IS THE BUDGET BROKEN DOWN BY NEIGHBORHOOD?  HOW DO YOU DETERMINE HOW MUCH MONEY GOES TO EACH?,
161-164,MT. WASHINGTON,SOUTH SIDE,CITY STEPS FIXED,2,SOUTH HILLS JNCT.,"40.420638, -80.006019",STEP REPAIR AND REPLACEMENT,PUBLIC SCHOOL MAINTENANCE ON BUILDINGS,,,,,,,,,,,,,,,,,,,,PUBLIC EDUCATION (PREK-HIS),,,
161-164,MT. WASHINGTON,SOUTH SIDE,"GRANDVIEW MAINTENANCE - RAILINGS, FENCES ETC.",2,GRANDVIEW,"40.437673, -80.018036",FLEX BEAM GUIDERAILS AND FENCING,,,,,,,,,,,,,,,,,,,,,,,,
165-168,BLOOMFIELD,SOUTH SIDE,SAFETY IMPROVEMENTS TO THE BLOOMFIELD BRIDGE/LIBERTY AVE. INTERSECTION,7,"DISTRICT 7, BLOOMFIELD","40.463663, -79.952887",COMPLETE STREETS,"SIDEWALKS, TRANSIT INFRASTRUCTURE (BUMPOUTS, BUS SHELTERS, LIGHTING)",COMPLETE STREETS,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,PEIROGIES! (KIDDING),,VERY,VERY,SOMEWHAT,SOMEWHAT,VERY,DEFINITELY YES,MOBILITY!  INFRASTRUCTURE!,,"THE PANELISTS/CITY REPS SHOULD ENGAGE THE FORUM PARTICIPANTS DURING THE BEGGING PROJECT, NOT ONLY AT THE END OF THE PANEL.  OUR GROUP HAD A LOT OF GOOD DISCUSSIONS THAT COULD NOT BE REFLECTED IN OUR TABLE'S QUESTION",
165-168,BLOOMFIELD,SOUTH SIDE,FRIENDSHIP PARK PEDESTRIAN & ACCESSIBILITY IMPROVEMENTS,7,"DISTRICT 7, BLOOMFIELD","40.462595, -79.946292",PARK RECONSTRUCTION,HOUSING (CREATING NEW MIXED-INCOME UNITS AND SUPPORTING EXISTING HOMEOWNERS STAY IN THEIR UNITS,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,,,,,,,,,,,,
